candidate_id,source_baseline,category,status,priority,geometry_scope,change_summary,expected_effect,validation
baseline_extracted,bfp_real_board_extracted_20260809,baseline,ready,0,full_board,no geometry change; API-extracted editable baseline,reference for same-port simulation and SVG comparison,run in copied/test design before replacing active BFP
measurement_compare_r1,bfp_real_board_extracted_20260809,calibration,done,1,sparam_markers,compare four measured boards against HFSS real-board rerun markers,identify systematic model gap before geometry changes,projects/bfp_real_board_hfss/reports/BFP_measured_vs_hfss_iteration_001.md
shifted_band_5p5_7p5_baseline,bfp_real_board_extracted_20260809,baseline,planned,2,filter_core,shift the passband target toward 5.5-7.5 GHz and use it as an independent reference baseline,determine whether the measured board aligns better to a lower-centered band,run copied/test design and compare 5/6/6.3/7.5/8/9 GHz markers
bfp_two_port_writeback_gate,bfp_real_board_extracted_20260809,automation,planned,3,full_board,add BFP-specific two-port source-layout rebuild and validate in copied/test AEDT design,allow safe candidate simulation without touching active BFP first,run copied/test design baseline and compare ports/S2P against active BFP
element_level_layout_policy_gate,bfp_real_board_extracted_20260809,automation,done,4,layout_elements,add generic configurable delete/redraw policy interface and BFP filter-core policy config,allow future filter candidates to modify only selected layout elements while preserving connector/feed/ports,unit tests pass and first AEDT write-back must use copied/test design
s11_6g_tune_r1,bfp_real_board_extracted_20260809,discarded,generated,5,left_right_launch,original full-board launch-relief candidate was based on the wrong optimization object; the target should be the 7th-order interdigital filter core layout,rebase the optimization object before any further geometry tuning,do not use this candidate for scoring
core_low_edge_coupling_r1,bfp_real_board_extracted_20260809,filter_core,planned,6,filter_core,close selected interdigital gaps or increase end coupling near the low-side transition,improve measured 6 GHz alignment while preserving 6.3-8 GHz insertion loss,compare measured-vs-HFSS marker deltas at 5/6/6.3/8/9 GHz
core_length_sensitivity_r1,bfp_real_board_extracted_20260809,filter_core,planned,7,filter_core,sweep small resonator length increase/decrease around extracted finger lengths,determine whether frequency shift or coupling dominates the 6 GHz error,score 6G improvement against 8G and 9G degradation
launch_inner_relief_w2p0_l6p0,bfp_real_board_extracted_20260809,launch,planned,8,left_right_launch,remove INNER1/INNER2 copper under connector center pads and feed transition using 2.0 mm x 6.0 mm relief windows,reduce launch pad capacitance and pull S11/S22 toward 50 ohm,compare S11/S22 Smith trajectory and TDR launch impedance
launch_inner_relief_w2p6_l8p0,bfp_real_board_extracted_20260809,launch,planned,9,left_right_launch,larger 2.6 mm x 8.0 mm INNER1/INNER2 relief windows under launch while preserving outer GND via fence,check whether launch mismatch remains after core calibration,compare against baseline and w2p0_l6p0
launch_via_fence_trim,bfp_real_board_extracted_20260809,launch,planned,10,left_right_launch,remove or move closest GND vias that over-couple to signal feed near connector feet,reduce local low-impedance dip and improve return loss,TDR should show smaller launch impedance dip
feed_width_taper_sweep,bfp_real_board_extracted_20260809,feed,planned,11,input_output_feed,sweep feed trace width/taper around extracted 0.33 mm line while keeping connector geometry fixed,separate feed impedance error from connector pad capacitance,score S21 at 6/6.3/8 GHz and S11/S22
