"old_path","new_path","doc_domain","status","canonical_updated","readme_updated","related_updated","notes"
"docs/README.md","docs/README.md","DOCS","kept","n/a","n/a","n/a","Root index remains at docs root"
"docs/ADS版图自动仿真项目框架设计.md","docs/arch/ADS版图自动仿真项目框架设计.md","ARCH","planned","no","no","no","Phase 3 high-frequency canonical document"
"docs/ARCH_ADS_ASSET_MIGRATION_20260801.md","docs/arch/ARCH_ADS_ASSET_MIGRATION_20260801.md","ARCH","planned","no","no","no","Phase 3 architecture migration record"
"docs/ARCH_ADS_ASSET_MIGRATION_20260801.csv","docs/arch/ARCH_ADS_ASSET_MIGRATION_20260801.csv","ARCH","planned","n/a","no","n/a","Phase 3 migration data"
"docs/ARCH_DIRECTORY_GOVERNANCE.md","docs/arch/ARCH_DIRECTORY_GOVERNANCE.md","ARCH","planned","no","no","no","Phase 3 governance document"
"docs/ARCH_DOCS_INTERNAL_STRUCTURE_PLAN.md","docs/arch/ARCH_DOCS_INTERNAL_STRUCTURE_PLAN.md","ARCH","planned","no","no","no","Phase 3 docs structure plan"
"docs/ARCH_DOCS_MIGRATION_20260801.csv","docs/arch/ARCH_DOCS_MIGRATION_20260801.csv","ARCH","planned","n/a","no","n/a","Phase 3 docs migration map"
"docs/ARCH_FRAMEWORK_REVIEW_GAP_ANALYSIS.md","docs/arch/ARCH_FRAMEWORK_REVIEW_GAP_ANALYSIS.md","ARCH","planned","no","no","no","Phase 3 framework review"
"docs/ARCH_REFACTOR_TASK_PROGRESS.md","docs/arch/ARCH_REFACTOR_TASK_PROGRESS.md","ARCH","planned","no","no","no","Phase 3 task log; consider splitting after migration"
"docs/ARCH_REFACTOR_TODO.md","docs/arch/ARCH_REFACTOR_TODO.md","ARCH","planned","no","no","no","Phase 3 active TODO"
"docs/PYTHON_SCRIPT_MANAGEMENT.md","docs/arch/PYTHON_SCRIPT_MANAGEMENT.md","ARCH","planned","no","no","no","Phase 3 script governance"
"docs/DATA_RUN_MANIFEST_SCHEMA.md","docs/data/DATA_RUN_MANIFEST_SCHEMA.md","DATA","moved+stubbed","yes","yes","yes","Phase 2 migrated; old path is deprecated stub"
"docs/DATA_SCHEMA_REGISTRY.md","docs/data/DATA_SCHEMA_REGISTRY.md","DATA","moved+stubbed","yes","yes","yes","Phase 2 migrated; old path is deprecated stub"
"docs/ENV_ADS_API_CAPABILITY_MATRIX.md","docs/env/ENV_ADS_API_CAPABILITY_MATRIX.md","ENV","moved+stubbed","yes","yes","yes","Phase 1 migrated; old path is deprecated stub"
"docs/ENV_UV_COMPANY_20260801.md","docs/env/ENV_UV_COMPANY_20260801.md","ENV","moved+stubbed","yes","yes","yes","Phase 1 migrated; old path is deprecated stub"
"docs/FLOW_ADS_WORKSPACE_WRITE_POLICY.md","docs/flow/FLOW_ADS_WORKSPACE_WRITE_POLICY.md","FLOW","moved+stubbed","yes","yes","yes","Phase 2 migrated; old path is deprecated stub"
"docs/FLOW_JOB_SCHEDULING_POLICY.md","docs/flow/FLOW_JOB_SCHEDULING_POLICY.md","FLOW","moved+stubbed","yes","yes","yes","Phase 2 migrated; old path is deprecated stub"
"docs/FLOW_MANUAL_INTERVENTION_LOG.md","docs/flow/FLOW_MANUAL_INTERVENTION_LOG.md","FLOW","moved+stubbed","yes","yes","yes","Phase 2 migrated; old path is deprecated stub"
"docs/FLOW_RUN_STATE_MACHINE.md","docs/flow/FLOW_RUN_STATE_MACHINE.md","FLOW","moved+stubbed","yes","yes","yes","Phase 2 migrated; old path is deprecated stub"
"docs/LAYOUT_RECONSTRUCTION_CHECKLIST.md","docs/layout/LAYOUT_RECONSTRUCTION_CHECKLIST.md","LAYOUT","moved+stubbed","yes","yes","yes","Phase 1 migrated; old path is deprecated stub"
"docs/OPT_OBJECTIVE_FUNCTION_DESIGN.md","docs/opt/OPT_OBJECTIVE_FUNCTION_DESIGN.md","OPT","moved+stubbed","yes","yes","yes","Phase 2 migrated; old path is deprecated stub"
"docs/ROUND_SCRIPT_MIGRATION_PLAN.md","docs/opt/ROUND_SCRIPT_MIGRATION_PLAN.md","OPT","moved+stubbed","yes","yes","yes","Phase 2 migrated; old path is deprecated stub"
"docs/FR4交指滤波器搜索算法改进方案.md","docs/opt/FR4交指滤波器搜索算法改进方案.md","OPT","moved+stubbed","yes","yes","yes","Phase 2 migrated; old path is deprecated stub"
"docs/RESULT_BASELINE_FREEZE_POLICY.md","docs/result/RESULT_BASELINE_FREEZE_POLICY.md","RESULT","moved+stubbed","yes","yes","yes","Phase 2 migrated; old path is deprecated stub"
